base_code,SP,SP_D,TCT,TCT_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D
AH,0.0,10.0830184794933,14.6700031560244,14.6341072684109,-1.0,-5.344330465530096,-0.5616078921959435,-4.0514163011707085,-0.3621737758250261,-3.8507470697498762,-0.3637344665908304,-3.7846900987471175
AK,14.6265980645675,14.6492245898632,14.5940118490225,14.5958033915954,-0.36406095371445657,-5.708391419244553,-0.36307719174507824,-4.414493492915787,-0.3654777456946739,-4.2162248154445505,-0.36539985253933044,-4.150089951286448
AL,7.26639714529515,9.95666960069545,8.16318541439787,9.88991641947617,-0.6840696893349935,-6.392461108579546,-0.5671013217088935,-4.98159481462468,-0.6450788950261795,-4.86130371047073,-0.5700036339358187,-4.7200935852222665
AN,7.86059047175877,10.0495734338094,8.16929554462524,9.97887717921614,-0.6582351968800535,-7.050696305459599,-0.5630620246169826,-5.544656839241663,-0.6448132371902069,-5.506116947660937,-0.5661357748166896,-5.2862293600389565
AQ,7.37958793619443,7.37860746306585,7.70566716871363,7.70639223875382,-0.6791483506002421,-7.729844656059841,-0.6791909798667021,-6.223847819108364,-0.6649709926646248,-6.171087940325561,-0.6649394678802686,-5.951168827919225
AV,7.67479645499151,7.77194724545838,7.73741096692773,7.74388641299345,-0.6663131976090648,-8.396157853668907,-0.6620892501974618,-6.885937069305826,-0.6635908275248813,-6.834678767850443,-0.6633092863915891,-6.614478114310814
AY,7.23397657019474,9.44737148678831,8.22020129668218,9.2380125012463,-0.6854792795567505,-9.081637133225657,-0.5892447179657256,-7.475181787271552,-0.6425999436225139,-7.477278711472957,-0.5983472825545086,-7.212825396865323
BA,7.60819713725436,7.62564785015547,7.60946000939888,7.62589639877025,-0.6692088201193755,-9.750845953345033,-0.6684500934715013,-8.143631880743053,-0.6691539126348313,-8.146432624107788,-0.6684392870099891,-7.881264683875313
BD,7.21839033620065,9.99340260021874,8.2104885118756,10.0019052647188,-0.6861569419043196,-10.437002895249353,-0.5655042347730983,-8.70913611551615,-0.6430222386141043,-8.789454862721893,-0.5651345537078782,-8.44639923758319
BE,7.75097941168674,10.0092890882479,8.15926404413027,10.0152715581529,-0.6630008951440548,-11.100003790393409,-0.5648135179022652,-9.273949633418416,-0.6452493893856405,-9.434704252107533,-0.5645534105150913,-9.010952648098282
AE,0.0,9.27027810115668,0.0,9.25241130086056,-1.0,-12.100003790393409,-0.5969444303844922,-9.870894063802908,-1.0,-10.434704252107533,-0.5977212477886713,-9.608673895886954
AM,0.0,9.25030586334939,0.0,9.17381966857077,-1.0,-13.100003790393409,-0.5978127885500265,-10.468706852352934,-1.0,-11.434704252107533,-0.6011382752795317,-10.209812171166485
AT,7.17348441076804,7.15569547186951,7.52910868010618,7.53223146088261,-0.6881093734448678,-13.788113163838275,-0.6888828055708909,-11.157589657923825,-0.6726474486910357,-12.107351700798569,-0.6725116756137995,-10.882323846780285
AZ,0.0,9.24583735805596,7.47604039160482,9.19121501754883,-1.0,-14.788113163838275,-0.5980070713888713,-11.755596729312696,-0.6749547655823992,-12.782306466380968,-0.6003819557587465,-11.482705802539032
BB,7.16000743671371,7.52713628596599,7.51790377831564,7.5539300742159,-0.6886953288385343,-15.47680849267681,-0.6727332049580004,-12.428329934270696,-0.6731346183341026,-13.455441084715071,-0.6715682576427869,-12.15427406018182
AF,0.0,5.02450341121739,0.0,4.94555362281686,-1.0,-16.47680849267681,-0.7815433299470701,-13.209873264217766,-1.0,-14.455441084715071,-0.7849759294427452,-12.939249989624564
AW,7.09050964330367,7.14320163174465,7.12089586129511,7.08667962053994,-0.6917169720302753,-17.168525464707084,-0.6894260160111022,-13.899299280228869,-0.6903958321176039,-15.145836916832675,-0.691883494759133,-13.631133484383696
BC,7.01526872723513,7.05714463590179,7.02758660450094,7.01960099754207,-0.6949883162071683,-17.863513780914253,-0.6931676245260092,-14.592466904754877,-0.6944527563260461,-15.84028967315872,-0.6947999566286056,-14.325933441012301
AO,0.0,4.5063504095398,0.0,4.42156834013254,-1.0,-18.863513780914253,-0.8040717213243566,-15.396538626079234,-1.0,-16.840289673158722,-0.807757898255107,-15.133691339267408
AU,0.0,4.5801034804558,0.0,4.46160754896132,-1.0,-19.863513780914253,-0.8008650660671391,-16.197403692146374,-1.0,-17.840289673158722,-0.8060170630886383,-15.939708402356047
AR,0.0,0.0,0.0,0.0,-1.0,-20.863513780914253,-1.0,-17.197403692146374,-1.0,-18.840289673158722,-1.0,-16.939708402356047
