base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,K,K_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_K,cumulative_frac_diff_K,frac_diff_K_D,cumulative_frac_diff_K_D
AV,6.714618,6.714526,7.1125417,7.1124444,7.5189357,8.541202,7.5189357,8.541202,7.5189238,8.541202,-0.6802562857142858,-8.50179116190476,-0.6802606666666667,-6.9419395619047615,-0.661307538095238,-6.682361604761905,-0.6613121714285713,-6.445432385714286,-0.6419554428571429,-6.643657476190477,-0.5932760952380952,-6.371755809523809,-0.6419554428571429,-6.643657290476192,-0.5932760952380952,-6.371755952380951,-0.6419560095238095,-6.354434047619049,-0.5932760952380952,-6.159772333333332
AY,6.7146163,8.5582075,7.5189238,8.5412,7.112534,9.196341,7.112534,9.196343,7.5189357,8.541194,-0.6802563666666667,-9.182047528571427,-0.5924663095238095,-7.534405871428571,-0.6419560095238095,-7.3243176142857145,-0.5932761904761905,-7.038708576190476,-0.6613079047619047,-7.304965380952382,-0.562079,-6.933834809523809,-0.6613079047619047,-7.304965195238096,-0.5620789047619047,-6.933834857142856,-0.6419554428571429,-6.996389490476192,-0.5932764761904762,-6.753048809523808
BA,6.714618,6.714526,7.1125417,7.1124444,7.5189238,8.541202,7.5189357,8.541202,7.5189357,8.541202,-0.6802562857142858,-9.862303814285713,-0.6802606666666667,-8.214666538095237,-0.661307538095238,-7.985625152380953,-0.6613121714285713,-7.700020747619048,-0.6419560095238095,-7.9469213904761915,-0.5932760952380952,-7.527110904761904,-0.6419554428571429,-7.946920638095239,-0.5932760952380952,-7.527110952380951,-0.6419554428571429,-7.638344933333335,-0.5932760952380952,-7.346324904761903
BD,6.7001834,8.960708,7.5189357,9.196348,7.5189357,9.196351,7.5189357,8.541202,7.5189238,8.541202,-0.6809436476190476,-10.54324746190476,-0.5732996190476191,-8.787966157142856,-0.6419554428571429,-8.627580595238095,-0.5620786666666666,-8.262099414285714,-0.6419554428571429,-8.588876833333334,-0.5620785238095238,-8.089189428571428,-0.6419554428571429,-8.588876080952382,-0.5932760952380952,-8.120387047619047,-0.6419560095238095,-8.280300942857144,-0.5932760952380952,-7.939600999999998
BE,6.7001834,8.960708,7.5189357,9.19635,7.5189357,9.196345,7.5189357,9.196348,7.5189357,8.541202,-0.6809436476190476,-11.224191109523808,-0.5732996190476191,-9.361265776190475,-0.6419554428571429,-9.269536038095238,-0.5620785714285714,-8.824177985714286,-0.6419554428571429,-9.230832276190476,-0.5620788095238095,-8.651268238095238,-0.6419554428571429,-9.230831523809524,-0.5620786666666666,-8.682465714285714,-0.6419554428571429,-8.922256385714286,-0.5932760952380952,-8.532877095238094
AE,0.0,8.533397,0.0,8.489412,7.0102034,8.489412,7.0102034,8.489405,7.0102034,7.010102,-1.0,-12.224191109523808,-0.5936477619047619,-9.954913538095237,-1.0,-10.269536038095238,-0.5957422857142858,-9.419920271428571,-0.6661807904761905,-9.897013066666666,-0.5957422857142858,-9.247010523809523,-0.6661807904761905,-9.897012314285714,-0.595742619047619,-9.278208333333334,-0.6661807904761905,-9.588437176190476,-0.6661856190476191,-9.199062714285713
AM,0.0,8.533396,0.0,8.48941,7.0101967,7.0100946,7.0101967,7.0100946,7.0101967,7.0100946,-1.0,-13.224191109523808,-0.5936478095238096,-10.548561347619046,-1.0,-11.269536038095238,-0.595742380952381,-10.015662652380952,-0.6661811095238095,-10.563194176190475,-0.6661859714285714,-9.913196495238095,-0.6661811095238095,-10.563193423809523,-0.6661859714285714,-9.944394304761905,-0.6661811095238095,-10.254618285714287,-0.6661859714285714,-9.865248685714285
AT,6.6458435,6.645751,7.010201,7.0100994,7.0102034,8.489412,7.0102034,7.010102,7.0101967,7.0100946,-0.6835312619047619,-13.90772237142857,-0.6835356666666667,-11.232097014285712,-0.6661809047619047,-11.935716942857143,-0.6661857428571428,-10.681848395238095,-0.6661807904761905,-11.229374966666665,-0.5957422857142858,-10.50893878095238,-0.6661807904761905,-11.229374214285713,-0.6661856190476191,-10.610579923809524,-0.6661811095238095,-10.920799395238095,-0.6661859714285714,-10.531434657142857
AZ,0.0,8.533394,7.010201,8.48941,0.0,8.489405,0.0,8.489405,7.0101967,8.489405,-1.0,-14.90772237142857,-0.5936479047619048,-11.825744919047617,-0.6661809047619047,-12.601897847619048,-0.595742380952381,-11.277590776190475,-1.0,-12.229374966666665,-0.595742619047619,-11.1046814,-1.0,-12.229374214285713,-0.595742619047619,-11.206322542857144,-0.6661811095238095,-11.586980504761904,-0.595742619047619,-11.127177276190476
BB,6.6458445,6.645752,7.0102034,7.010102,7.0102034,7.010102,7.010201,7.0100994,7.0102034,7.010102,-0.6835312142857143,-15.591253585714284,-0.6835356190476191,-12.509280538095236,-0.6661807904761905,-13.268078638095238,-0.6661856190476191,-11.943776395238094,-0.6661807904761905,-12.895555757142855,-0.6661856190476191,-11.77086701904762,-0.6661809047619047,-12.895555119047618,-0.6661857428571428,-11.872508285714288,-0.6661807904761905,-12.253161295238094,-0.6661856190476191,-11.793362895238095
AF,0.0,4.218635,0.0,4.532586,6.5832305,6.5831375,6.5832305,6.5831375,6.5832305,6.5831375,-1.0,-16.591253585714284,-0.7991126190476191,-13.308393157142856,-1.0,-14.268078638095238,-0.7841625714285714,-12.727938966666667,-0.6865128333333333,-13.582068590476188,-0.6865172619047619,-12.45738428095238,-0.6865128333333333,-13.582067952380951,-0.6865172619047619,-12.559025547619049,-0.6865128333333333,-12.939674128571427,-0.6865172619047619,-12.479880157142857
AW,6.5832305,6.5831375,6.5832305,6.5831375,6.5832305,6.5831375,6.5832305,6.5831375,6.5832305,6.5831375,-0.6865128333333333,-17.277766419047616,-0.6865172619047619,-13.994910419047617,-0.6865128333333333,-14.954591471428571,-0.6865172619047619,-13.414456228571428,-0.6865128333333333,-14.268581423809522,-0.6865172619047619,-13.143901542857142,-0.6865128333333333,-14.268580785714285,-0.6865172619047619,-13.24554280952381,-0.6865128333333333,-13.62618696190476,-0.6865172619047619,-13.166397419047618
BC,6.5832305,6.5831375,6.5832305,6.5831375,6.5832305,6.5831375,6.5832305,6.5831375,6.5832305,6.5831375,-0.6865128333333333,-17.964279252380948,-0.6865172619047619,-14.681427680952378,-0.6865128333333333,-15.641104304761905,-0.6865172619047619,-14.10097349047619,-0.6865128333333333,-14.955094257142855,-0.6865172619047619,-13.830418804761903,-0.6865128333333333,-14.955093619047618,-0.6865172619047619,-13.932060071428571,-0.6865128333333333,-14.312699795238094,-0.6865172619047619,-13.852914680952379
AO,0.0,4.1938114,0.0,4.097329,0.0,4.097331,0.0,4.097331,0.0,4.097331,-1.0,-18.964279252380948,-0.8002946952380952,-15.481722376190474,-1.0,-16.641104304761903,-0.8048890952380952,-14.905862585714285,-1.0,-15.955094257142855,-0.804889,-14.635307804761903,-1.0,-15.955093619047618,-0.804889,-14.73694907142857,-1.0,-15.312699795238094,-0.804889,-14.657803680952378
AU,0.0,4.193812,0.0,4.097331,0.0,4.097331,0.0,4.097329,0.0,4.097331,-1.0,-19.964279252380948,-0.8002946666666666,-16.28201704285714,-1.0,-17.641104304761903,-0.804889,-15.710751585714284,-1.0,-16.955094257142854,-0.804889,-15.440196804761902,-1.0,-16.955093619047616,-0.8048890952380952,-15.541838166666667,-1.0,-16.312699795238096,-0.804889,-15.462692680952378
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-20.964279252380948,-1.0,-17.28201704285714,-1.0,-18.641104304761903,-1.0,-16.710751585714284,-1.0,-17.955094257142854,-1.0,-16.440196804761904,-1.0,-17.955093619047616,-1.0,-16.541838166666665,-1.0,-17.312699795238096,-1.0,-16.46269268095238
