base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
BL,18.270485,26.502773,27.523167,27.522997,20.573553,26.421598,20.573553,21.61555,27.523167,27.522997,20.573545,20.573545,-0.5297172458172458,-7.722092870012871,-0.3178179407979408,-5.76667407979408,-0.291552972972973,-5.266335546975547,-0.2915573487773488,-5.24304048906049,-0.47043621621621623,-5.551067953667953,-0.31990738738738744,-5.368091377091377,-0.47043621621621623,-5.355407232947233,-0.4436151866151867,-5.31950501930502,-0.291552972972973,-4.282112689832691,-0.2915573487773488,-4.282182471042471,-0.47043642213642217,-4.997646563706564,-0.47043642213642217,-4.997646563706564
BR,18.27049,18.270142,19.864248,19.864075,19.864248,19.864075,20.573553,20.6445,27.523167,27.522997,27.523167,27.523167,-0.5297171171171172,-8.251809987129988,-0.5297260746460747,-6.296400154440154,-0.4886937451737452,-5.755029292149293,-0.4886981981981982,-5.731738687258688,-0.4886937451737452,-6.039761698841699,-0.4886981981981982,-5.856789575289576,-0.47043621621621623,-5.8258434491634485,-0.46861003861003864,-5.788115057915059,-0.291552972972973,-4.573665662805664,-0.2915573487773488,-4.57373981981982,-0.291552972972973,-5.289199536679536,-0.291552972972973,-5.289199536679536
AF,9.0179405,20.354301,10.343096,20.56668,20.356981,20.356802,20.357008,20.566666,19.654995,19.65482,20.356981,20.356981,-0.7678779794079794,-9.019687966537967,-0.4760797683397684,-6.772479922779922,-0.7337684427284428,-6.4887977348777355,-0.4706131274131274,-6.2023518146718155,-0.47601078507078504,-6.5157724839124835,-0.4760153925353926,-6.332804967824969,-0.4760100900900901,-6.301853539253539,-0.47061348777348777,-6.258728545688546,-0.4940799227799228,-5.067745585585587,-0.4940844272844273,-5.067824247104247,-0.47601078507078504,-5.765210321750321,-0.47601078507078504,-5.765210321750321
AH,8.929749,13.775755,10.240981,14.637072,19.450682,19.450512,19.450695,19.450525,19.450695,19.450525,19.450705,19.450705,-0.7701480308880309,-9.789835997425998,-0.6454117117117117,-7.417891634491634,-0.7363968854568855,-7.225194620334621,-0.62324138996139,-6.825593204633206,-0.4993389446589447,-7.015111428571428,-0.4993433204633205,-6.832148288288289,-0.4993386100386101,-6.801192149292149,-0.49934298584298586,-6.758071531531533,-0.4993386100386101,-5.567084195624196,-0.49934298584298586,-5.567167232947233,-0.4993383526383527,-6.264548674388674,-0.4993383526383527,-6.264548674388674
AP,18.177608,18.177252,18.88924,18.889067,19.450682,19.450512,19.450691,19.450521,19.450695,19.450525,19.450691,19.450691,-0.5321079021879023,-10.3219438996139,-0.5321170656370656,-7.9500087001287,-0.5137904761904761,-7.738985096525097,-0.5137949292149292,-7.339388133848135,-0.4993389446589447,-7.514450373230373,-0.4993433204633205,-7.33149160875161,-0.499338712998713,-7.300530862290862,-0.49934308880308886,-7.257414620334622,-0.4993386100386101,-6.066422805662806,-0.49934298584298586,-6.066510218790219,-0.499338712998713,-6.7638873873873875,-0.499338712998713,-6.7638873873873875
AR,18.142282,18.14193,19.450682,19.450512,19.450682,19.450512,19.450678,19.711037,19.450695,19.450525,19.450691,19.450691,-0.5330171943371943,-10.854961093951095,-0.5330262548262549,-8.483034954954956,-0.4993389446589447,-8.238324041184041,-0.4993433204633205,-7.838731454311455,-0.4993389446589447,-8.013789317889318,-0.4993433204633205,-7.83083492921493,-0.4993390476190476,-7.799869909909909,-0.49263740025740027,-7.750052020592022,-0.4993386100386101,-6.565761415701416,-0.49934298584298586,-6.565853204633205,-0.499338712998713,-7.263226100386101,-0.499338712998713,-7.263226100386101
BB,18.177608,18.177252,18.88924,18.889067,19.450682,19.450512,19.450682,19.711012,19.450695,19.450525,19.450705,19.450705,-0.5321079021879023,-11.387068996138998,-0.5321170656370656,-9.015152020592021,-0.5137904761904761,-8.752114517374517,-0.5137949292149292,-8.352526383526385,-0.4993389446589447,-8.513128262548262,-0.4993433204633205,-8.330178249678251,-0.4993389446589447,-8.299208854568853,-0.49263804375804376,-8.242690064350064,-0.4993386100386101,-7.065100025740025,-0.49934298584298586,-7.0651961904761915,-0.4993383526383527,-7.762564453024454,-0.4993383526383527,-7.762564453024454
BD,18.142284,18.141932,19.450691,19.450521,19.450705,19.450535,19.450705,19.450535,19.450695,19.450525,19.450705,19.450705,-0.5330171428571429,-11.92008613899614,-0.5330262033462033,-9.548178223938224,-0.499338712998713,-9.25145323037323,-0.49934308880308886,-8.851869472329474,-0.4993383526383527,-9.012466615186614,-0.4993427284427285,-8.82952097812098,-0.4993383526383527,-8.798547207207205,-0.4993427284427285,-8.742032792792793,-0.4993386100386101,-7.564438635778635,-0.49934298584298586,-7.564539176319178,-0.4993383526383527,-8.261902805662807,-0.4993383526383527,-8.261902805662807
BH,8.948127,20.332417,10.279988,20.522373,19.450682,19.711037,19.450705,19.711037,19.450695,19.450525,19.450705,19.450705,-0.7696749806949807,-12.689761119691122,-0.4766430630630631,-10.024821287001288,-0.7353928442728443,-9.986846074646074,-0.4717535907335907,-9.323623063063065,-0.4993389446589447,-9.511805559845559,-0.49263740025740027,-9.322158378378381,-0.4993383526383527,-9.297885559845557,-0.49263740025740027,-9.234670193050194,-0.4993386100386101,-8.063777245817246,-0.49934298584298586,-8.063882162162164,-0.4993383526383527,-8.761241158301159,-0.4993383526383527,-8.761241158301159
BM,18.177605,18.177248,19.450682,19.450512,18.889225,20.522348,18.889225,20.52235,19.450705,19.450535,19.450678,19.450678,-0.5321079794079794,-13.2218690990991,-0.5321171685971686,-10.556938455598456,-0.4993389446589447,-10.486185019305019,-0.4993433204633205,-9.822966383526387,-0.5137908622908623,-10.025596422136422,-0.47175423423423424,-9.793912612612615,-0.5137908622908623,-9.81167642213642,-0.4717541827541828,-9.706424375804376,-0.4993383526383527,-8.563115598455598,-0.4993427284427285,-8.563224890604893,-0.4993390476190476,-9.260580205920206,-0.4993390476190476,-9.260580205920206
