it,base_code,SP,TCT,ST,DG,KV,KH
Z_AF_0,AF,34.7382,38.57034690829565,38.57034690829565,38.57034690829565,47.76343137110557,47.76343137110557
Z_AF_1,AF,34.7382,38.57034690829565,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_AF_2,AF,34.7382,38.57034690829565,38.57034690829565,47.76343137110557,47.76343137110557,47.76343137110557
Z_AF_3,AF,34.7382,38.57034690829565,38.57034690829565,38.57034690829565,47.76343137110557,47.76343137110557
Z_AG_0,AG,23.1588,25.767367305704884,36.68848815547822,25.767367305704884,36.68848815547822,36.68848815547822
Z_AG_1,AG,23.1588,25.767367305704884,36.68848815547822,36.68848815547822,36.68848815547822,36.68848815547822
Z_AG_2,AG,23.1588,25.767367305704884,25.767367305704884,46.05265068672608,36.68848815547822,36.68848815547822
Z_AG_3,AG,23.1588,25.767367305704884,36.68848815547822,36.68848815547822,36.68848815547822,36.68848815547822
Z_AH_0,AH,11.5794,11.715310089282275,24.0565866213254,11.715310089282275,35.13323298786051,35.13323298786051
Z_AH_1,AH,11.5794,11.715310089282275,35.13323298786051,24.0565866213254,35.13323298786051,35.13323298786051
Z_AH_2,AH,11.5794,11.715310089282275,24.0565866213254,35.13323298786051,35.13323298786051,35.13323298786051
Z_AH_3,AH,11.5794,11.715310089282275,35.13323298786051,35.13323298786051,35.13323298786051,35.13323298786051
Z_AI_0,AI,0.0,0.0,22.642718287127483,10.160054921664559,33.84789813858967,33.84789813858967
Z_AI_1,AI,0.0,0.0,22.642718287127483,0.0,33.84789813858967,33.84789813858967
Z_AI_2,AI,0.0,0.0,22.642718287127483,33.84789813858967,33.84789813858967,33.84789813858967
Z_AI_3,AI,0.0,0.0,22.642718287127483,33.84789813858967,33.84789813858967,33.84789813858967
Z_AJ_0,AJ,23.1588,24.87124409007753,24.87124409007753,24.87124409007753,35.87383068672609,35.87383068672609
Z_AJ_1,AJ,23.1588,24.87124409007753,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609
Z_AJ_2,AJ,23.1588,24.87124409007753,24.87124409007753,35.87383068672609,35.87383068672609,35.87383068672609
Z_AJ_3,AJ,23.1588,24.87124409007753,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609
Z_AK_0,AK,11.5794,10.900652620530144,10.900652620530144,10.900652620530144,34.459962352528166,34.459962352528166
Z_AK_1,AK,11.5794,10.900652620530144,34.459962352528166,23.315988922459823,34.459962352528166,34.459962352528166
Z_AK_2,AK,11.5794,10.900652620530144,23.315988922459823,34.459962352528166,34.459962352528166,34.459962352528166
Z_AK_3,AK,11.5794,10.900652620530144,34.459962352528166,34.459962352528166,34.459962352528166,34.459962352528166
