it,base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D
Z_BY_1,BY,0.13208032,12.490035,0.34631702,13.173027,11.424109,11.423843,12.349365,17.229635,11.85914,12.8778305,11.85914,12.877808
Z_BY_2,BY,10.641005,11.39957,11.458382,11.4578085,12.349334,17.229645,11.859142,12.877819,11.859192,12.877802,11.859192,12.877802
Z_BY_3,BY,0.13208787,12.490044,0.34632456,13.173029,11.424084,11.423818,1.1598899,9.125738,11.859199,12.877805,11.859199,12.87778
Z_BZ_0,BZ,46.1751,46.17454,49.322807,49.322235,49.322807,49.322575,49.322807,49.322575,49.322807,49.322575,49.322807,49.322575
Z_BZ_1,BZ,34.735504,47.42339,39.46297,44.871548,49.322826,49.322594,49.322845,49.322613,49.322815,49.322582,49.322815,49.322594
Z_BZ_2,BZ,46.1751,46.17454,49.322807,49.322235,49.322803,49.32257,49.322845,49.322613,49.322773,49.32254,49.322773,49.32257
Z_BZ_3,BZ,34.73546,47.42341,39.46281,44.8716,49.32279,49.32255,49.322807,49.322575,49.32277,49.322536,49.32277,49.32255
Z_CA_0,CA,34.470844,34.470306,37.842766,37.84218,37.842766,37.842518,38.81923,38.818954,46.97236,46.97209,46.97236,46.972076
Z_CA_1,CA,34.470863,34.470325,37.842815,37.842224,46.97236,46.97209,38.819176,38.818897,46.972355,46.972084,46.972355,46.97209
Z_CA_2,CA,34.470844,34.470306,37.842766,37.84218,38.819176,38.818897,37.842815,37.842564,46.97236,46.97209,46.97236,46.972065
Z_CA_3,CA,34.47083,34.470287,37.842705,37.842117,46.972355,46.972084,38.81909,38.818813,46.972336,46.972065,46.972336,46.972084
Z_CB_0,CB,22.76506,32.746273,25.396132,31.733255,26.262932,30.011612,26.340488,36.551,38.19215,38.19188,38.19215,38.192017
Z_CB_1,CB,34.371986,34.371433,36.458572,36.45799,38.19219,38.19192,37.22873,37.22845,38.192287,38.192017,38.192287,38.19192
Z_CB_2,CB,22.76506,32.746273,25.396132,31.733255,26.262867,30.011728,26.262934,30.011677,38.192165,38.191895,38.192165,38.19196
Z_CB_3,CB,34.371964,34.37141,36.458508,36.45792,38.19215,38.19188,37.22868,37.2284,38.19219,38.19192,38.19219,38.19188
Z_CC_0,CC,11.067198,32.062813,12.35536,31.624125,12.949462,28.763979,12.978629,35.509266,35.864548,35.86428,35.864548,35.86426
Z_CC_1,CC,34.26687,34.266308,35.217968,35.217396,35.86454,35.864273,35.864525,35.864258,35.86455,35.864285,35.86455,35.864273
Z_CC_2,CC,11.067198,32.062813,12.35536,31.624125,25.142466,26.139696,12.96443,29.63663,35.864525,35.864258,35.864525,35.864258
Z_CC_3,CC,34.26686,34.266296,35.217937,35.217365,35.864517,35.864246,35.864502,35.864235,35.86452,35.864254,35.86452,35.864246
Z_CD_0,CD,34.278145,34.27759,36.91868,36.91811,36.91868,36.918457,36.918686,36.918465,36.91867,36.918453,36.91867,36.91842
Z_CD_1,CD,0.9195476,33.67035,1.287799,31.709154,26.135143,29.70187,13.009168,29.947563,36.918655,36.918434,36.918655,36.918438
Z_CD_2,CD,34.278145,34.27759,36.91868,36.91811,36.91872,36.9185,36.91872,36.9185,36.91872,36.9185,36.91872,36.918404
Z_CD_3,CD,0.91956836,33.67039,1.2878191,31.709208,26.135212,29.701756,36.91862,36.918404,36.91866,36.918438,36.91866,36.918465
Z_CE_0,CE,22.579634,26.487179,25.018911,25.307951,25.797602,28.232903,25.797602,28.232893,34.932415,34.93215,34.932415,34.932182
Z_CE_1,CE,0.79192686,26.679867,1.26919,28.776247,25.797537,28.232948,12.903128,28.462626,34.93244,34.93218,34.93244,34.93215
