base_code,SP,SP_D,TCT,TCT_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D
BA,7.51974985497119,7.56654075338451,7.53695987390466,7.51625353475951,-0.6730543541316873,-13.004705963667854,-0.6710199672441517,-8.651050850590336,-0.6723060924389278,-11.124031733224705,-0.6732063680539343,-8.303814211870113
BD,0.0,9.27634321357275,0.0,9.17830680991805,-1.0,-14.004705963667854,-0.596680729844663,-9.247731580434998,-1.0,-12.124031733224705,-0.6009431821774761,-8.90475739404759
BE,0.0,9.2077639386747,0.0,9.11543531781444,-1.0,-15.004705963667854,-0.5996624374489261,-9.847394017883923,-1.0,-13.124031733224705,-0.6036767253124157,-9.508434119360006
AE,0.0,9.21570091314259,0.0,9.14200163950435,-1.0,-16.004705963667853,-0.599317351602496,-10.446711369486419,-1.0,-14.124031733224705,-0.6025216678476369,-10.110955787207642
AM,0.0,9.25030586334939,0.0,9.17381966857077,-1.0,-17.004705963667853,-0.5978127885500265,-11.044524158036445,-1.0,-15.124031733224705,-0.6011382752795317,-10.712094062487173
AT,0.0,5.60416537740339,0.0,5.58056306955004,-1.0,-18.004705963667853,-0.7563406357650699,-11.800864793801516,-1.0,-16.124031733224705,-0.7573668230630418,-11.469460885550214
AZ,0.0,7.41407575192954,0.0,7.49779472302603,-1.0,-19.004705963667853,-0.6776488803508895,-12.478513674152406,-1.0,-17.124031733224705,-0.6740089250858248,-12.14346981063604
BB,0.0,5.60038873157685,0.0,5.5745248478322,-1.0,-20.004705963667853,-0.7565048377575283,-13.235018511909935,-1.0,-18.124031733224705,-0.7576293544420782,-12.901099165078119
AF,0.0,4.54902876633271,0.0,4.8166321689791,-1.0,-21.004705963667853,-0.80221614059423,-14.037234652504164,-1.0,-19.124031733224705,-0.7905812100443869,-13.691680375122505
AW,0.0,5.529772676334,0.0,5.52320932916193,-1.0,-22.004705963667853,-0.7595751010289566,-14.796809753533122,-1.0,-20.124031733224705,-0.7598604639494814,-14.451540839071987
BC,0.0,5.55316524493697,0.0,5.53086995215797,-1.0,-23.004705963667853,-0.7585580328288274,-15.555367786361948,-1.0,-21.124031733224705,-0.7595273933844361,-15.211068232456423
AO,0.0,3.68534561194746,0.0,3.67329359282902,-1.0,-24.004705963667853,-0.8397675820892408,-16.39513536845119,-1.0,-22.124031733224705,-0.8402915829204775,-16.0513598153769
AU,0.0,3.63728397740698,0.0,3.64912757925404,-1.0,-25.004705963667853,-0.8418572183736096,-17.236992586824798,-1.0,-23.124031733224705,-0.8413422791628679,-16.892702094539768
