base_code,SP,TCT,ST,DG,K,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_K,cumulative_frac_diff_K
AH,0.0,13.914469089238722,7.527579915685001,7.527579915685001,0.0,-1.0,-7.029919999999999,-0.33740623384577517,-5.232724581669087,-0.6415438135388095,-5.479458312563268,-0.6415438135388095,-5.479458312563268,-1.0,-4.93167224400675
AK,0.0,0.0,7.527579915685001,7.527579915685001,13.914469089238722,-1.0,-8.029919999999999,-1.0,-6.232724581669087,-0.6415438135388095,-6.121002126102077,-0.6415438135388095,-6.121002126102077,-0.33740623384577517,-5.269078477852525
AL,0.0,0.0,6.879679089238718,6.879679089238718,6.879679089238718,-1.0,-9.029919999999999,-1.0,-7.232724581669087,-0.6723962338457754,-6.793398359947853,-0.6723962338457754,-6.793398359947853,-0.6723962338457754,-5.941474711698301
AN,0.0,0.0,6.879679089238718,6.879679089238718,6.879679089238718,-1.0,-10.029919999999999,-1.0,-8.232724581669087,-0.6723962338457754,-7.465794593793628,-0.6723962338457754,-7.465794593793628,-0.6723962338457754,-6.613870945544076
AQ,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-10.699079999999999,-0.6723962338457754,-8.905120815514863,-0.6723962338457754,-8.138190827639404,-0.6723962338457754,-8.138190827639404,-0.6723962338457754,-7.286267179389852
AV,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-11.368239999999998,-0.6723962338457754,-9.577517049360639,-0.6723962338457754,-8.81058706148518,-0.6723962338457754,-8.81058706148518,-0.6723962338457754,-7.9586634132356275
AY,0.0,6.879679089238718,0.0,0.0,6.879679089238718,-1.0,-12.368239999999998,-0.6723962338457754,-10.249913283206414,-1.0,-9.81058706148518,-1.0,-9.81058706148518,-0.6723962338457754,-8.631059647081402
BA,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-13.037399999999998,-0.6723962338457754,-10.92230951705219,-0.6723962338457754,-10.482983295330955,-0.6723962338457754,-10.482983295330955,-0.6723962338457754,-9.303455880927178
BD,0.0,0.0,0.0,6.879679089238718,6.879679089238718,-1.0,-14.037399999999998,-1.0,-11.92230951705219,-1.0,-11.482983295330955,-0.6723962338457754,-11.15537952917673,-0.6723962338457754,-9.975852114772954
BE,0.0,0.0,0.0,0.0,6.879679089238718,-1.0,-15.037399999999998,-1.0,-12.92230951705219,-1.0,-12.482983295330955,-1.0,-12.15537952917673,-0.6723962338457754,-10.64824834861873
AE,0.0,0.0,0.0,0.0,6.290678337923918,-1.0,-16.037399999999998,-1.0,-13.92230951705219,-1.0,-13.482983295330955,-1.0,-13.15537952917673,-0.7004438886702896,-11.348692237289018
AM,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918,-1.0,-17.037399999999998,-1.0,-14.92230951705219,-0.7004438886702896,-14.183427184001244,-0.7004438886702896,-13.85582341784702,-0.7004438886702896,-12.049136125959308
AT,0.0,0.0,0.0,6.290678337923918,6.290678337923918,-1.0,-18.037399999999998,-1.0,-15.92230951705219,-1.0,-15.183427184001244,-0.7004438886702896,-14.55626730651731,-0.7004438886702896,-12.749580014629597
AZ,0.0,0.0,0.0,0.0,0.0,-1.0,-19.037399999999998,-1.0,-16.92230951705219,-1.0,-16.183427184001246,-1.0,-15.55626730651731,-1.0,-13.749580014629597
