base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,K,K_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_K,cumulative_frac_diff_K,frac_diff_K_D,cumulative_frac_diff_K_D
AH,0.0,12.871295,13.698914,13.698819,7.625213,9.247159,7.625208,9.247155,0.0,12.871291,-1.0,-7.077245352380952,-0.3870811904761905,-4.202364738095238,-0.34767076190476187,-5.332676795238095,-0.3476752857142857,-3.900800380952381,-0.6368946190476191,-5.576187219047619,-0.5596590952380952,-4.355500476190476,-0.6368948571428571,-5.576187142857143,-0.5596592857142857,-4.355500809523809,-1.0,-5.015281142857143,-0.387081380952381,-3.8306610952380953
AK,0.0,12.871296,0.0,12.871296,7.625213,9.24716,7.625208,9.247164,13.698914,13.698819,-1.0,-8.077245352380952,-0.3870811428571429,-4.589445880952381,-1.0,-6.332676795238095,-0.3870811428571429,-4.287881523809524,-0.6368946190476191,-6.213081838095238,-0.5596590476190476,-4.915159523809523,-0.6368948571428571,-6.213082,-0.5596588571428571,-4.915159666666666,-0.34767076190476187,-5.362951904761905,-0.3476752857142857,-4.178336380952381
AL,0.0,8.558206,0.0,8.5412,7.1125417,7.1124444,7.518919,8.541194,7.5189357,8.541194,-1.0,-9.077245352380952,-0.5924663809523809,-5.1819122619047615,-1.0,-7.332676795238095,-0.5932761904761905,-4.881157714285715,-0.661307538095238,-6.874389376190477,-0.6613121714285713,-5.576471695238094,-0.641956238095238,-6.855038238095238,-0.5932764761904762,-5.508436142857142,-0.6419554428571429,-6.004907347619048,-0.5932764761904762,-4.771612857142856
AN,0.0,8.558209,0.0,8.5412,7.112534,7.112437,7.112534,7.112437,7.518919,8.5412,-1.0,-10.077245352380952,-0.5924662380952381,-5.774378499999999,-1.0,-8.332676795238095,-0.5932761904761905,-5.474433904761906,-0.6613079047619047,-7.535697280952381,-0.6613125238095238,-6.237784219047618,-0.6613079047619047,-7.5163461428571425,-0.6613125238095238,-6.169748666666665,-0.641956238095238,-6.646863585714287,-0.5932761904761905,-5.364889047619047
AQ,6.714617,6.7145247,7.112539,7.1124415,7.5189357,8.541194,7.5189357,8.541194,7.5189357,8.541194,-0.6802563333333334,-10.757501685714285,-0.6802607285714286,-6.454639228571428,-0.6613076666666666,-8.993984461904763,-0.6613123095238096,-6.1357462142857155,-0.6419554428571429,-8.177652723809524,-0.5932764761904762,-6.831060695238094,-0.6419554428571429,-8.158301585714286,-0.5932764761904762,-6.763025142857141,-0.6419554428571429,-7.28881902857143,-0.5932764761904762,-5.958165523809523
AV,6.714614,6.7145224,7.112534,7.112437,7.112539,7.1124415,7.1125417,7.1124444,7.518919,8.5412,-0.6802564761904761,-11.43775816190476,-0.6802608380952381,-7.134900066666666,-0.6613079047619047,-9.655292366666668,-0.6613125238095238,-6.797058738095239,-0.6613076666666666,-8.838960390476192,-0.6613123095238096,-7.4923730047619035,-0.661307538095238,-8.819609123809524,-0.6613121714285713,-7.4243373142857125,-0.641956238095238,-7.930775266666668,-0.5932761904761905,-6.551441714285714
AY,0.0,6.7145243,7.112539,7.1124415,0.0,7.112437,0.0,7.112437,7.112534,7.112437,-1.0,-12.43775816190476,-0.6802607476190475,-7.815160814285713,-0.6613076666666666,-10.316600033333334,-0.6613123095238096,-7.458371047619049,-1.0,-9.838960390476192,-0.6613125238095238,-8.153685528571428,-1.0,-9.819609123809524,-0.6613125238095238,-8.085649838095236,-0.6613079047619047,-8.592083171428573,-0.6613125238095238,-7.212754238095237
BA,6.714614,6.7145224,7.112534,7.112437,7.112534,7.112437,7.112534,7.112437,7.518919,8.541194,-0.6802564761904761,-13.118014638095236,-0.6802608380952381,-8.495421652380951,-0.6613079047619047,-10.977907938095239,-0.6613125238095238,-8.119683571428572,-0.6613079047619047,-10.500268295238097,-0.6613125238095238,-8.814998052380952,-0.6613079047619047,-10.48091702857143,-0.6613125238095238,-8.74696236190476,-0.641956238095238,-9.234039409523811,-0.5932764761904762,-7.806030714285713
BD,0.0,8.558206,0.0,8.541194,0.0,7.1124444,7.1125417,7.1124444,7.518919,8.5412,-1.0,-14.118014638095236,-0.5924663809523809,-9.087888033333332,-1.0,-11.977907938095239,-0.5932764761904762,-8.712960047619049,-1.0,-11.500268295238097,-0.6613121714285713,-9.476310223809524,-0.661307538095238,-11.142224566666668,-0.6613121714285713,-9.408274533333332,-0.641956238095238,-9.87599564761905,-0.5932761904761905,-8.399306904761904
BE,0.0,8.558209,0.0,8.541194,0.0,7.112437,0.0,7.112437,7.518919,8.541194,-1.0,-15.118014638095236,-0.5924662380952381,-9.68035427142857,-1.0,-12.977907938095239,-0.5932764761904762,-9.306236523809526,-1.0,-12.500268295238097,-0.6613125238095238,-10.137622747619048,-1.0,-12.142224566666668,-0.6613125238095238,-10.069587057142856,-0.641956238095238,-10.517951885714288,-0.5932764761904762,-8.99258338095238
AE,0.0,8.533392,0.0,8.489405,0.0,7.0100994,0.0,7.0100946,7.0101967,7.0100946,-1.0,-16.118014638095236,-0.5936480000000001,-10.27400227142857,-1.0,-13.977907938095239,-0.595742619047619,-9.901979142857146,-1.0,-13.500268295238097,-0.6661857428571428,-10.803808490476191,-1.0,-13.142224566666668,-0.6661859714285714,-10.735773028571428,-0.6661811095238095,-11.184132995238098,-0.6661859714285714,-9.658769352380952
AM,0.0,8.533396,0.0,8.48941,7.0101967,7.0100946,7.0101967,7.0100946,7.0101967,7.0100946,-1.0,-17.118014638095236,-0.5936478095238096,-10.86765008095238,-1.0,-14.977907938095239,-0.595742380952381,-10.497721523809526,-0.6661811095238095,-14.166449404761906,-0.6661859714285714,-11.469994461904763,-0.6661811095238095,-13.808405676190478,-0.6661859714285714,-11.401959,-0.6661811095238095,-11.850314104761907,-0.6661859714285714,-10.324955323809524
AT,0.0,5.1285186,0.0,4.9791613,0.0,7.0100994,7.0101967,7.0100946,7.0101967,7.0100946,-1.0,-18.118014638095236,-0.7557848285714286,-11.623434909523809,-1.0,-15.977907938095239,-0.7628970809523808,-11.260618604761907,-1.0,-15.166449404761906,-0.6661857428571428,-12.136180204761907,-0.6661811095238095,-14.474586785714287,-0.6661859714285714,-12.068144971428572,-0.6661811095238095,-12.516495214285715,-0.6661859714285714,-10.991141295238096
AZ,0.0,5.1285176,0.0,7.0100994,0.0,4.9791646,0.0,4.9791636,0.0,7.0100946,-1.0,-19.118014638095236,-0.7557848761904762,-12.379219785714286,-1.0,-16.97790793809524,-0.6661857428571428,-11.92680434761905,-1.0,-16.166449404761906,-0.7628969238095238,-12.899077128571431,-1.0,-15.474586785714287,-0.7628969714285715,-12.831041942857143,-1.0,-13.516495214285715,-0.6661859714285714,-11.657327266666668
BB,0.0,5.1285186,0.0,4.9791613,7.0101967,7.0100946,7.0101967,7.0100946,7.010201,7.0100994,-1.0,-20.118014638095236,-0.7557848285714286,-13.135004614285714,-1.0,-17.97790793809524,-0.7628970809523808,-12.689701428571432,-0.6661811095238095,-16.832630514285714,-0.6661859714285714,-13.565263100000003,-0.6661811095238095,-16.140767895238096,-0.6661859714285714,-13.497227914285714,-0.6661809047619047,-14.18267611904762,-0.6661857428571428,-12.323513009523811
AF,0.0,4.2186327,0.0,4.5325813,0.0,4.5325813,0.0,4.532578,0.0,4.532578,-1.0,-21.118014638095236,-0.7991127285714286,-13.934117342857142,-1.0,-18.97790793809524,-0.7841627952380952,-13.473864223809528,-1.0,-17.832630514285714,-0.7841627952380952,-14.349425895238099,-1.0,-17.140767895238096,-0.7841629523809523,-14.281390866666667,-1.0,-15.18267611904762,-0.7841629523809523,-13.107675961904764
AW,0.0,4.9262676,0.0,4.9262676,0.0,4.532578,0.0,4.5325813,6.5832305,6.5831375,-1.0,-22.118014638095236,-0.7654158285714286,-14.699533171428572,-1.0,-19.97790793809524,-0.7654158285714286,-14.239280052380957,-1.0,-18.832630514285714,-0.7841629523809523,-15.133588847619052,-1.0,-18.140767895238096,-0.7841627952380952,-15.065553661904762,-0.6865128333333333,-15.869188952380954,-0.6865172619047619,-13.794193223809526
BC,0.0,4.926266,0.0,4.926266,0.0,4.532586,0.0,4.532586,6.5832305,6.5831375,-1.0,-23.118014638095236,-0.7654159047619048,-15.464949076190477,-1.0,-20.97790793809524,-0.7654159047619048,-15.004695957142863,-1.0,-19.832630514285714,-0.7841625714285714,-15.917751419047622,-1.0,-19.140767895238096,-0.7841625714285714,-15.849716233333332,-0.6865128333333333,-16.555701785714287,-0.6865172619047619,-14.480710485714287
AO,0.0,3.278235,0.0,3.2945442,0.0,4.097329,0.0,4.097329,0.0,4.097329,-1.0,-24.118014638095236,-0.8438935714285715,-16.30884264761905,-1.0,-21.97790793809524,-0.8431169428571428,-15.847812900000005,-1.0,-20.832630514285714,-0.8048890952380952,-16.722640514285718,-1.0,-20.140767895238096,-0.8048890952380952,-16.654605328571428,-1.0,-17.555701785714287,-0.8048890952380952,-15.285599580952383
AU,0.0,3.278236,0.0,3.2945454,0.0,3.2945454,0.0,3.2945442,0.0,4.097329,-1.0,-25.118014638095236,-0.8438935238095239,-17.15273617142857,-1.0,-22.97790793809524,-0.8431168857142857,-16.69092978571429,-1.0,-21.832630514285714,-0.8431168857142857,-17.565757400000003,-1.0,-21.140767895238096,-0.8431169428571428,-17.49772227142857,-1.0,-18.555701785714287,-0.8048890952380952,-16.09048867619048
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-26.118014638095236,-1.0,-18.15273617142857,-1.0,-23.97790793809524,-1.0,-17.69092978571429,-1.0,-22.832630514285714,-1.0,-18.565757400000003,-1.0,-22.140767895238096,-1.0,-18.49772227142857,-1.0,-19.555701785714287,-1.0,-17.09048867619048
