base_code,SP,SP_D,TCT,TCT_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D
AL,3.60229084383308,9.56119693897299,4.019962278422055,9.576657968479456,-0.8433786589637791,-7.685333409944869,-0.5842957852620438,-5.176838590491577,-0.825219031372954,-6.1616515509842635,-0.5836235665878498,-4.877648689758604
AN,3.90451617772327,9.6205252572298,4.03016303493076,9.55868942785775,-0.83023842705551,-8.51557183700038,-0.5817162931639217,-5.758554883655498,-0.8247755202204018,-6.986427071204665,-0.5844048074844457,-5.4620534972430494
AQ,7.37958793619443,7.37860746306585,7.70566716871363,7.70639223875382,-0.6791483506002421,-9.194720187600621,-0.6791909798667021,-6.4377458635222,-0.6649709926646248,-7.65139806386929,-0.6649394678802686,-6.126992965123318
AV,7.46950917888228,7.647285543810435,7.688952284592925,7.68719355739701,-0.6752387313529443,-9.869958918953566,-0.667509324182155,-7.105255187704355,-0.6656977267568294,-8.31709579062612,-0.6657741931566518,-6.792767158279969
AY,3.61698828509737,8.53574480381351,7.909274372960676,8.417078056594516,-0.8427396397783752,-10.712698558731942,-0.6288806607037605,-7.7341358484081155,-0.6561185055234489,-8.973214296149568,-0.6340400844958907,-7.42680724277586
BA,7.56338188700037,7.6107228396002995,7.576348635588245,7.590135679682855,-0.6711573092608535,-11.383855867992796,-0.6690990069739,-8.403234855382015,-0.6705935375831198,-9.643807833732687,-0.6699941008833541,-8.096801343659214
BD,3.596539901214945,9.573374451065071,4.054763247897995,9.575194222499114,-0.8436286999471763,-12.227484567939973,-0.5837663282145621,-8.987001183596577,-0.8237059457435655,-10.467513779476253,-0.5836872077174299,-8.680488551376644
BE,3.854521717370335,9.589131559388111,4.072511520553685,9.55078373736705,-0.832412099244768,-13.059896667184741,-0.583081236548343,-9.57008242014492,-0.8229342817150571,-11.29044806119131,-0.5847485331579544,-9.265237084534599
AE,0.0,9.22008795287286,0.0,9.20591361776956,-1.0,-14.059896667184741,-0.5991266107446583,-10.16920903088958,-1.0,-12.29044806119131,-0.5997428861839321,-9.864979970718531
AM,0.0,9.25030586334939,0.0,9.17381966857077,-1.0,-15.059896667184741,-0.5978127885500265,-10.767021819439606,-1.0,-13.29044806119131,-0.6011382752795317,-10.466118245998063
AT,3.572260403120705,6.485986143171106,3.74127563817302,6.559724968547895,-0.8446843302990998,-15.90458099748384,-0.7180006024708215,-11.485022421910427,-0.8373358418185642,-14.127783903009874,-0.7147945665848741,-11.180912812582937
AZ,0.0,8.32995655499275,3.73802019580241,8.34450487028743,-1.0,-16.90458099748384,-0.6378279758698805,-12.122850397780308,-0.8374773827911995,-14.965261285801073,-0.6371954404222856,-11.818108253005223
BB,3.558167525339775,6.396381303250751,3.728373979298145,6.522650025385506,-0.8452970641156619,-17.749878061599503,-0.7218964650760544,-12.844746862856363,-0.8378967835087764,-15.80315806930985,-0.7164065206354128,-12.534514773640636
AF,0.0,4.7395846492763,0.0,4.883376842285335,-1.0,-18.749878061599503,-0.7939311022053783,-13.638677965061742,-1.0,-16.803158069309852,-0.7876792677267245,-13.32219404136736
AW,3.545254821651835,6.336487154039325,3.560447930647555,6.3049444748509345,-0.8458584860151376,-19.595736547614642,-0.7245005585200294,-14.363178523581771,-0.8451979160588019,-17.648355985368653,-0.7258719793543073,-14.048066020721668
BC,3.489783077350495,6.3173091798917405,3.491615166271775,6.27405034573027,-0.8482703009847611,-20.444006848599404,-0.7253343834829679,-15.08851290706474,-0.8481906449447054,-18.496546630313357,-0.7272152023595535,-14.775281223081222
AO,0.0,4.109464901449725,0.0,4.0603606377883,-1.0,-21.444006848599404,-0.8213276129804467,-15.909840520045186,-1.0,-19.496546630313357,-0.8234625809657261,-15.598743804046949
AU,0.0,4.09073085362154,0.0,4.08368144399239,-1.0,-22.444006848599404,-0.8221421367990634,-16.73198265684425,-1.0,-20.496546630313357,-0.8224486328698961,-16.421192436916844
AR,0.0,0.0,0.0,0.0,-1.0,-23.444006848599404,-1.0,-17.73198265684425,-1.0,-21.496546630313357,-1.0,-17.421192436916844
