base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,K,K_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_K,cumulative_frac_diff_K,frac_diff_K_D,cumulative_frac_diff_K_D
AH,0.0,12.871295,13.698914,13.698819,7.6252189999999995,9.247159499999999,7.6252165000000005,9.247159499999999,6.849457,13.285055,-1.0,-6.25448261904762,-0.3870811904761905,-4.144753833333334,-0.34767076190476187,-4.530419826190476,-0.3476752857142857,-3.7758878095238093,-0.6368943333333333,-4.320697404761905,-0.5596590714285715,-4.004021904761905,-0.6368944523809523,-4.0314740238095235,-0.5596590714285715,-3.792038738095238,-0.6738353809523809,-4.2271106666666665,-0.36737833333333336,-3.6348263809523806
AK,6.849457,13.2850575,6.849457,13.2850575,10.6620635,11.4729895,10.662061,11.4729915,13.698914,13.698819,-0.6738353809523809,-6.928318000000001,-0.36737821428571427,-4.512132047619048,-0.6738353809523809,-5.204255207142857,-0.36737821428571427,-4.143266023809524,-0.49228269047619044,-4.812980095238095,-0.4536671666666666,-4.457689071428572,-0.49228280952380954,-4.523756833333333,-0.4536670714285715,-4.24570580952381,-0.34767076190476187,-4.574781428571429,-0.3476752857142857,-3.9825016666666664
AL,3.35009025,8.759459,3.7594619,8.868771500000001,7.5189214,8.5412,7.518919,8.541202,7.5189357,8.541194,-0.8404718928571429,-7.768789892857144,-0.5828829047619047,-5.095014952380953,-0.8209780047619049,-6.025233211904762,-0.5776775476190475,-4.720943571428571,-0.6419561238095238,-5.454936219047619,-0.5932761904761905,-5.0509652619047625,-0.641956238095238,-5.165713071428571,-0.5932760952380952,-4.838981904761905,-0.6419554428571429,-5.216736871428572,-0.5932764761904762,-4.575778142857143
AN,3.35009025,8.759458500000001,3.7594619,8.8687725,7.5189214,8.5412,7.518919,8.541201000000001,7.5189214,8.541201000000001,-0.8404718928571429,-8.609261785714287,-0.5828829285714285,-5.677897880952381,-0.8209780047619049,-6.846211216666667,-0.5776775,-5.298621071428571,-0.6419561238095238,-6.096892342857143,-0.5932761904761905,-5.644241452380953,-0.641956238095238,-5.807669309523809,-0.5932761428571428,-5.432258047619047,-0.6419561238095238,-5.858692995238096,-0.5932761428571428,-5.169054285714285
AQ,6.714617,6.7145247,7.112539,7.1124415,7.5189357,8.541194,7.5189357,8.541194,7.5189357,8.541194,-0.6802563333333334,-9.28951811904762,-0.6802607285714286,-6.35815860952381,-0.6613076666666666,-7.507518883333334,-0.6613123095238096,-5.959933380952381,-0.6419554428571429,-6.738847785714286,-0.5932764761904762,-6.237517928571429,-0.6419554428571429,-6.449624752380952,-0.5932764761904762,-6.025534523809523,-0.6419554428571429,-6.500648438095239,-0.5932764761904762,-5.762330761904761
AV,6.714617,6.7145247,7.112539,7.1124415,7.5189214,8.541197,7.5189214,8.541197,7.5189214,8.541201000000001,-0.6802563333333334,-9.969774452380953,-0.6802607285714286,-7.038419338095238,-0.6613076666666666,-8.16882655,-0.6613123095238096,-6.621245690476191,-0.6419561238095238,-7.38080390952381,-0.5932763333333333,-6.830794261904762,-0.6419561238095238,-7.091580876190476,-0.5932763333333333,-6.618810857142856,-0.6419561238095238,-7.142604561904763,-0.5932761428571428,-6.3556069047619035
AY,3.35730815,7.6363658999999995,7.3157314,7.8268207499999995,3.556267,8.154389,3.556267,8.15439,7.31573485,7.8268155,-0.8401281833333333,-10.809902635714286,-0.6363635285714286,-7.674782866666667,-0.6516318380952381,-8.820458388095238,-0.62729425,-7.248539940476191,-0.8306539523809524,-8.211457861904762,-0.6116957619047619,-7.4424900238095235,-0.8306539523809524,-7.922234828571429,-0.6116957142857143,-7.23050657142857,-0.6516316738095238,-7.794236235714287,-0.6272945,-6.982901404761903
BA,6.7146159999999995,6.7145242,7.112537850000001,7.1124407000000005,7.315730350000001,7.8268222000000005,7.518919,8.541198000000001,7.51892975,8.541197,-0.680256380952381,-11.490159016666667,-0.6802607523809524,-8.355043619047619,-0.6613077214285714,-9.481766109523809,-0.6613123476190476,-7.909852288095239,-0.6516318880952381,-8.86308975,-0.6272941809523809,-8.069784204761904,-0.641956238095238,-8.564191066666666,-0.5932762857142857,-7.823782857142856,-0.6419557261904763,-8.436191961904763,-0.5932763333333333,-7.576177738095236
BD,3.3500898,8.7594575,3.7594595,8.8687725,7.315730350000001,8.541198000000001,7.5189214,8.541197,7.5189214,8.541201000000001,-0.8404719142857143,-12.330630930952381,-0.5828829761904762,-8.937926595238094,-0.8209781190476191,-10.302744228571427,-0.5776775,-8.48752978809524,-0.6516318880952381,-9.514721638095239,-0.5932762857142857,-8.66306049047619,-0.6419561238095238,-9.20614719047619,-0.5932763333333333,-8.41705919047619,-0.6419561238095238,-9.078148085714286,-0.5932761428571428,-8.169453880952378
BE,3.3500898,8.759457000000001,3.7594595,8.8687735,7.31573485,8.541194,7.31573485,8.541194,7.51892975,8.541197,-0.8404719142857143,-13.171102845238096,-0.5828829999999999,-9.520809595238095,-0.8209781190476191,-11.123722347619047,-0.5776774523809524,-9.065207240476191,-0.6516316738095238,-10.166353311904762,-0.5932764761904762,-9.256336966666666,-0.6516316738095238,-9.857778864285713,-0.5932764761904762,-9.010335666666666,-0.6419557261904763,-9.720103811904762,-0.5932763333333333,-8.762730214285712
AE,0.0,8.5333945,0.0,8.4894085,3.5051005,7.7497535,7.01020005,7.010102,7.01019885,7.010097,-1.0,-14.171102845238096,-0.593647880952381,-10.114457476190475,-1.0,-12.123722347619047,-0.5957424523809524,-9.660949692857143,-0.8330904523809524,-10.999443764285715,-0.6309641190476191,-9.887301085714284,-0.66618095,-10.523959814285712,-0.6661856190476191,-9.676521285714285,-0.6661810071428571,-10.386284819047619,-0.6661858571428572,-9.428916071428569
AM,0.0,8.533396,0.0,8.48941,7.0101967,7.0100946,7.0101967,7.0100946,7.0101967,7.0100946,-1.0,-15.171102845238096,-0.5936478095238096,-10.708105285714286,-1.0,-13.123722347619047,-0.595742380952381,-10.256692073809523,-0.6661811095238095,-11.665624873809524,-0.6661859714285714,-10.553487057142856,-0.6661811095238095,-11.190140923809523,-0.6661859714285714,-10.342707257142857,-0.6661811095238095,-11.05246592857143,-0.6661859714285714,-10.09510204285714
AT,3.32292175,5.8871348,3.5051005,5.9946315,7.010201,7.0101007,7.0102034,7.010102,7.0101967,7.0100946,-0.841765630952381,-16.012868476190476,-0.7196602476190476,-11.427765533333334,-0.8330904523809524,-13.9568128,-0.7145413571428572,-10.971233430952381,-0.6661809047619047,-12.331805778571429,-0.666185680952381,-11.219672738095237,-0.6661807904761905,-11.856321714285713,-0.6661856190476191,-11.008892876190476,-0.6661811095238095,-11.718647038095238,-0.6661859714285714,-10.761288014285713
AZ,0.0,6.8309558,3.5051005,7.7497546999999996,0.0,6.734284799999999,0.0,6.7342843,3.50509835,7.7497498,-1.0,-17.012868476190476,-0.6747163904761905,-12.102481923809524,-0.8330904523809524,-14.789903252380952,-0.6309640619047618,-11.602197492857144,-1.0,-13.331805778571429,-0.6793197714285715,-11.89899250952381,-1.0,-12.856321714285713,-0.6793197952380953,-11.688212671428571,-0.8330905547619047,-12.551737592857142,-0.6309642952380953,-11.392252309523808
BB,3.3229213,5.88713455,3.50509835,5.9946291,7.01020005,7.0100983,7.01019885,7.010097,7.0102022,7.0101007,-0.8417656523809524,-17.85463412857143,-0.7196602595238095,-12.822142183333334,-0.8330905547619047,-15.622993807142857,-0.7145414714285714,-12.316738964285715,-0.66618095,-13.997986728571428,-0.6661857952380953,-12.565178304761904,-0.6661810071428571,-13.52250272142857,-0.6661858571428572,-12.354398528571428,-0.6661808476190476,-13.21791844047619,-0.666185680952381,-12.05843799047619
AF,0.0,4.21863385,0.0,4.53258365,0.0,4.5325875,3.29161525,5.557861750000001,3.29161525,5.5578594,-1.0,-18.85463412857143,-0.7991126738095238,-13.621254857142858,-1.0,-16.622993807142855,-0.7841626833333334,-13.100901647619049,-1.0,-14.997986728571428,-0.7841625000000001,-13.349340804761905,-0.8432564166666667,-14.365759138095235,-0.7353399166666666,-13.089738445238094,-0.8432564166666667,-14.061174857142856,-0.7353400285714286,-12.793778019047618
AW,3.29161525,5.75470255,3.29161525,5.75470255,3.29161525,5.55785775,3.29161525,5.5578594,6.5832305,6.5831375,-0.8432564166666667,-19.697890545238096,-0.7259665452380952,-14.347221402380953,-0.8432564166666667,-17.46625022380952,-0.7259665452380952,-13.826868192857145,-0.8432564166666667,-15.841243145238096,-0.7353401071428571,-14.084680911904762,-0.8432564166666667,-15.209015554761901,-0.7353400285714286,-13.825078473809523,-0.6865128333333333,-14.747687690476189,-0.6865172619047619,-13.48029528095238
BC,3.29161525,5.75470305,3.29161525,5.75470305,3.29161525,5.5578632500000005,6.5832305,6.5831375,6.5832305,6.5831375,-0.8432564166666667,-20.54114696190476,-0.7259665214285714,-15.073187923809524,-0.8432564166666667,-18.309506640476187,-0.7259665214285714,-14.552834714285716,-0.8432564166666667,-16.68449956190476,-0.7353398452380953,-14.820020757142856,-0.6865128333333333,-15.895528388095235,-0.6865172619047619,-14.511595735714284,-0.6865128333333333,-15.434200523809523,-0.6865172619047619,-14.16681254285714
AO,0.0,3.7360241500000004,0.0,3.6959379,0.0,4.0973299999999995,0.0,4.0973299999999995,0.0,4.0973299999999995,-1.0,-21.54114696190476,-0.8220940880952382,-15.895282011904762,-1.0,-19.309506640476187,-0.8240029571428571,-15.376837671428573,-1.0,-17.68449956190476,-0.8048890476190477,-15.624909804761904,-1.0,-16.895528388095236,-0.8048890476190477,-15.316484783333332,-1.0,-16.434200523809523,-0.8048890476190477,-14.971701590476188
AU,0.0,3.73602275,0.0,3.6959347000000005,0.0,4.097324,0.0,4.097324,0.0,4.0973299999999995,-1.0,-22.54114696190476,-0.8220941547619047,-16.717376166666668,-1.0,-20.309506640476187,-0.8240031095238094,-16.200840780952383,-1.0,-18.68449956190476,-0.8048893333333333,-16.429799138095238,-1.0,-17.895528388095236,-0.8048893333333333,-16.121374116666665,-1.0,-17.434200523809523,-0.8048890476190477,-15.776590638095236
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-23.54114696190476,-1.0,-17.717376166666668,-1.0,-21.309506640476187,-1.0,-17.200840780952383,-1.0,-19.68449956190476,-1.0,-17.429799138095238,-1.0,-18.895528388095236,-1.0,-17.121374116666665,-1.0,-18.434200523809523,-1.0,-16.776590638095236
