base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
AM,0.0,26.502777,27.523167,27.522997,20.573577999999998,20.644482,20.573574,20.6444835,27.523167,27.522997,20.573545,20.573545,-1.0,-6.021202200772201,-0.3178178378378379,-3.3545527027027027,-0.291552972972973,-3.9280574259974257,-0.2915573487773488,-3.145091261261262,-0.4704355727155728,-3.7085940411840417,-0.46861050193050197,-3.5176482368082373,-0.4704356756756757,-3.208798635778636,-0.46861046332046336,-3.124117799227799,-0.291552972972973,-3.0207502831402833,-0.2915573487773488,-3.00911564993565,-0.47043642213642217,-3.208800913770914,-0.47043642213642217,-3.208800913770914
AO,18.270481,18.27013,19.864225,19.86405,20.218885,20.254270499999997,20.573558499999997,20.644477000000002,27.523167,27.522997,24.048385,24.048385,-0.5297173487773488,-6.55091954954955,-0.5297263835263835,-3.8842790862290864,-0.4886943371943372,-4.416751763191763,-0.48869884169884176,-3.6337901029601034,-0.47956537966537965,-4.188159420849422,-0.4786545559845561,-3.996302792792793,-0.47043607464607473,-3.679234710424711,-0.4686106306306306,-3.59272842985843,-0.291552972972973,-3.3123032561132564,-0.2915573487773488,-3.300672998712999,-0.3809939510939511,-3.5897948648648654,-0.3809939510939511,-3.5897948648648654
AW,18.270481,18.27013,19.864225,19.86405,20.573553,20.64449,20.573545,20.644493,27.523167,27.522997,20.573545,20.573545,-0.5297173487773488,-7.080636898326899,-0.5297263835263835,-4.41400546975547,-0.4886943371943372,-4.9054461003861,-0.48869884169884176,-4.122488944658945,-0.47043621621621623,-4.658595637065638,-0.468610296010296,-4.4649130888030895,-0.47043642213642217,-4.149671132561133,-0.4686102187902188,-4.061338648648649,-0.291552972972973,-3.6038562290862295,-0.2915573487773488,-3.592230347490348,-0.47043642213642217,-4.0602312870012875,-0.47043642213642217,-4.0602312870012875
AX,18.270485,18.270134,19.864235,19.86406,20.573603,20.644474,20.573603,20.644474,27.523167,27.522997,20.573545,20.573545,-0.5297172458172458,-7.610354144144145,-0.5297262805662806,-4.94373175032175,-0.4886940797940798,-5.394140180180179,-0.48869858429858437,-4.6111875289575295,-0.4704349292149293,-5.129030566280567,-0.4686107078507079,-4.933523796653797,-0.4704349292149293,-4.620106061776062,-0.4686107078507079,-4.5299493564993565,-0.291552972972973,-3.8954092020592026,-0.2915573487773488,-3.8837876962676967,-0.47043642213642217,-4.53066770913771,-0.47043642213642217,-4.53066770913771
BA,18.270485,18.270134,19.864235,19.86406,20.2188965,20.254283,20.573558499999997,20.6444795,27.523167,27.522997,24.048385,24.048385,-0.5297172458172458,-8.14007138996139,-0.5297262805662806,-5.473458030888031,-0.4886940797940798,-5.882834259974259,-0.48869858429858437,-5.0998861132561135,-0.47956508365508366,-5.60859564993565,-0.47865423423423425,-5.412178030888032,-0.47043607464607473,-5.090542136422137,-0.4686105662805663,-4.998559922779923,-0.291552972972973,-4.186962175032176,-0.2915573487773488,-4.175345045045045,-0.3809939510939511,-4.911661660231661,-0.3809939510939511,-4.911661660231661
BL,9.1352425,22.386453500000002,23.693701,23.6935285,10.2867765,23.533044,15.489859,21.130020000000002,23.693690500000002,23.693517,20.218892,20.218892,-0.7648586229086229,-8.904930012870013,-0.4237721106821107,-5.897230141570142,-0.3901235263835264,-6.272957786357785,-0.39012796653796655,-5.49001407979408,-0.7352181081081081,-6.343813758043758,-0.39425884169884173,-5.806436872586874,-0.6012906306306307,-5.691832767052768,-0.45611274131274127,-5.454672664092664,-0.3901237966537966,-4.577085971685972,-0.39012826254826255,-4.565473307593308,-0.4795651994851995,-5.391226859716861,-0.4795651994851995,-5.391226859716861
BR,18.2704825,18.270134,19.864231,19.864055999999998,19.86423,19.864055,20.218896,20.254286999999998,27.523167,27.522997,27.523167,27.523167,-0.5297173101673102,-9.434647323037323,-0.5297262805662806,-6.426956422136422,-0.48869418275418275,-6.761651969111968,-0.4886986872586873,-5.978712767052768,-0.4886942084942085,-6.832507966537967,-0.488698712998713,-6.295135585585586,-0.47956509652509655,-6.171397863577864,-0.47865413127413137,-5.933326795366796,-0.291552972972973,-4.868638944658945,-0.2915573487773488,-4.8570306563706565,-0.291552972972973,-5.6827798326898336,-0.291552972972973,-5.6827798326898336
AF,9.01792775,20.3542955,10.343062499999998,20.566673,20.005979500000002,20.005800999999998,20.005972999999997,20.3568075,19.6549865,19.654809999999998,20.005993500000002,20.005993500000002,-0.7678783075933077,-10.20252563063063,-0.47607990990990995,-6.903036332046332,-0.733769305019305,-7.495421274131273,-0.47061330759330755,-6.449326074646075,-0.4850455727155727,-7.31755353925354,-0.48505016731016737,-6.780185752895754,-0.48504574002574014,-6.656443603603604,-0.47601525096525105,-6.409342046332046,-0.4940801415701416,-5.362719086229086,-0.49408468468468475,-5.351115341055341,-0.4850452123552123,-6.167825045045046,-0.4850452123552123,-6.167825045045046
AH,8.9297385,13.775753,10.2409485,14.6370685,14.845809500000001,17.043795000000003,19.1699485,19.1697755,19.4506865,19.4505165,19.4506935,19.4506935,-0.7701483011583012,-10.97267393178893,-0.6454117631917632,-7.548448095238095,-0.736397722007722,-8.231818996138994,-0.6232414800514802,-7.072567554697556,-0.6178684813384813,-7.935422020592021,-0.561292277992278,-7.341478030888032,-0.5065650321750322,-7.1630086357786364,-0.5065694851994852,-6.915911531531531,-0.49933882882882885,-5.862057915057915,-0.4993432046332047,-5.8504585456885465,-0.4993386486486487,-6.667163693693694,-0.4993386486486487,-6.667163693693694
AP,13.531885500000001,17.261740500000002,14.318541,17.398085,14.845799,17.0437885,18.889225,18.889051,19.4506865,19.4505165,19.4506815,19.4506815,-0.6516889189189189,-11.62436285070785,-0.5556823552123552,-8.10413045045045,-0.6314403861003861,-8.86325938223938,-0.5521728442728443,-7.6247403989704,-0.6178687516087517,-8.553290772200773,-0.5612924453024453,-7.902770476190478,-0.5137908622908623,-7.6767994980694985,-0.5137953410553411,-7.4297068725868725,-0.49933882882882885,-6.361396743886743,-0.4993432046332047,-6.349801750321751,-0.4993389575289575,-7.166502651222651,-0.4993389575289575,-7.166502651222651
