base_code,SP,TCT,ST,DG,KV,KH,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KH,cumulative_frac_diff_KH
AM,0.0,27.696645589827668,19.758777833253657,19.758777833253657,27.696645589827668,19.758777833253657,-1.0,-5.742326486486486,-0.2514420110857387,-3.558090274015977,-0.4659789774796309,-3.3826915703968403,-0.4659789774796309,-2.8515111555492356,-0.2514420110857387,-2.639099719035336,-0.4659789774796309,-2.8515111555492356
AO,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,23.727711711540664,-0.4992691891891892,-6.241595675675676,-0.4659789774796309,-4.024069251495608,-0.4659789774796309,-3.848670547876471,-0.4659789774796309,-3.3174901330288664,-0.2514420110857387,-2.8905417301210745,-0.35871049428268476,-3.2102216498319205
AW,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,19.758777833253657,-0.4992691891891892,-6.740864864864865,-0.4659789774796309,-4.4900482289752395,-0.4659789774796309,-4.314649525356102,-0.4659789774796309,-3.783469110508497,-0.2514420110857387,-3.141983741206813,-0.4659789774796309,-3.6762006273115513
AX,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,19.758777833253657,-0.4992691891891892,-7.240134054054055,-0.4659789774796309,-4.956027206454871,-0.4659789774796309,-4.780628502835733,-0.4659789774796309,-4.249448087988128,-0.2514420110857387,-3.3934257522925515,-0.4659789774796309,-4.142179604791182
BA,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,23.727711711540664,-0.4992691891891892,-7.7394032432432445,-0.4659789774796309,-5.422006183934502,-0.4659789774796309,-5.246607480315364,-0.4659789774796309,-4.715427065467759,-0.2514420110857387,-3.64486776337829,-0.35871049428268476,-4.5008900990738665
BL,9.26352,23.727711711540664,9.879388916626828,15.128157372621551,23.727711711540664,19.758777833253657,-0.7496345945945946,-8.48903783783784,-0.35871049428268476,-5.780716678217186,-0.7329894887398154,-5.97959696905518,-0.5911308818210391,-5.306557947288798,-0.35871049428268476,-4.003578257660974,-0.4659789774796309,-4.966869076553498
BR,18.52704,19.758777833253657,19.758777833253657,19.758777833253657,27.696645589827668,27.696645589827668,-0.4992691891891892,-8.988307027027028,-0.4659789774796309,-6.246695655696818,-0.4659789774796309,-6.445575946534811,-0.4659789774796309,-5.7725369247684295,-0.2514420110857387,-4.255020268746713,-0.2514420110857387,-5.218311087639236
AF,9.26352,9.673641044220853,19.00978158982766,19.00978158982766,19.00978158982766,19.00978158982766,-0.7496345945945946,-9.737941621621623,-0.7385502420480851,-6.985245897744902,-0.486222119193847,-6.931798065728659,-0.486222119193847,-6.258759043962277,-0.486222119193847,-4.74124238794056,-0.486222119193847,-5.704533206833084
AH,9.26352,8.924644800794855,13.626760357390351,18.328875913985847,18.328875913985847,18.328875913985847,-0.7496345945945946,-10.487576216216217,-0.7587933837623012,-7.744039281507203,-0.6317091795299905,-7.563507245258649,-0.5046249752976798,-6.763384019259957,-0.5046249752976798,-5.24586736323824,-0.5046249752976798,-6.209158182130763
AP,13.89528,13.626760357390351,13.626760357390351,18.328875913985847,18.328875913985847,18.328875913985847,-0.6244518918918919,-11.11202810810811,-0.6317091795299905,-8.375748461037194,-0.6317091795299905,-8.19521642478864,-0.5046249752976798,-7.268008994557636,-0.5046249752976798,-5.75049233853592,-0.5046249752976798,-6.713783157428443
