base_code,SP,TCT,ST,DG,K,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_K,cumulative_frac_diff_K
AH,0.0,13.914469089238722,7.527579915685001,7.527579915685001,6.957234544619361,-1.0,-6.202819999999999,-0.33740623384577517,-4.449849192098469,-0.6415438135388095,-4.2737063408985705,-0.6415438135388095,-3.969568761205536,-0.6687031169228875,-4.1472542334207825
AK,6.94764,6.957234544619361,10.721024502461862,10.721024502461862,13.914469089238722,-0.66916,-6.871979999999999,-0.6687031169228875,-5.118552309021356,-0.4894750236922923,-4.763181364590863,-0.4894750236922923,-4.459043784897829,-0.33740623384577517,-4.484660467266558
AL,3.4738200000000004,3.439839544619359,6.879679089238718,6.879679089238718,6.879679089238718,-0.83458,-7.706559999999999,-0.8361981169228876,-5.954750425944244,-0.6723962338457754,-5.435577598436638,-0.6723962338457754,-5.1314400187436044,-0.6723962338457754,-5.157056701112333
AN,3.4738200000000004,3.439839544619359,6.879679089238718,6.879679089238718,6.879679089238718,-0.83458,-8.541139999999999,-0.8361981169228876,-6.790948542867132,-0.6723962338457754,-6.107973832282414,-0.6723962338457754,-5.80383625258938,-0.6723962338457754,-5.829452934958109
AQ,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-9.210299999999998,-0.6723962338457754,-7.4633447767129075,-0.6723962338457754,-6.78037006612819,-0.6723962338457754,-6.476232486435156,-0.6723962338457754,-6.501849168803885
AV,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-9.879459999999998,-0.6723962338457754,-8.135741010558682,-0.6723962338457754,-7.452766299973965,-0.6723962338457754,-7.148628720280931,-0.6723962338457754,-7.17424540264966
AY,3.4738200000000004,6.879679089238718,3.439839544619359,3.439839544619359,6.879679089238718,-0.83458,-10.714039999999999,-0.6723962338457754,-8.808137244404458,-0.8361981169228876,-8.288964416896853,-0.8361981169228876,-7.984826837203819,-0.6723962338457754,-7.846641636495436
BA,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-11.383199999999999,-0.6723962338457754,-9.480533478250234,-0.6723962338457754,-8.961360650742629,-0.6723962338457754,-8.657223071049595,-0.6723962338457754,-8.519037870341212
BD,3.4738200000000004,3.439839544619359,6.879679089238718,6.879679089238718,6.879679089238718,-0.83458,-12.21778,-0.8361981169228876,-10.31673159517312,-0.6723962338457754,-9.633756884588404,-0.6723962338457754,-9.32961930489537,-0.6723962338457754,-9.191434104186987
BE,3.4738200000000004,3.439839544619359,6.879679089238718,6.879679089238718,6.879679089238718,-0.83458,-13.05236,-0.8361981169228876,-11.152929712096007,-0.6723962338457754,-10.30615311843418,-0.6723962338457754,-10.002015538741146,-0.6723962338457754,-9.863830338032763
AE,0.0,0.0,3.145339168961959,6.290678337923918,6.290678337923918,-1.0,-14.05236,-1.0,-12.152929712096007,-0.8502219443351448,-11.156375062769325,-0.7004438886702896,-10.702459427411435,-0.7004438886702896,-10.564274226703052
AM,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918,-1.0,-15.05236,-1.0,-13.152929712096007,-0.7004438886702896,-11.856818951439614,-0.7004438886702896,-11.402903316081725,-0.7004438886702896,-11.264718115373341
AT,3.4738200000000004,3.145339168961959,6.290678337923918,6.290678337923918,6.290678337923918,-0.83458,-15.886940000000001,-0.8502219443351448,-14.003151656431152,-0.7004438886702896,-12.557262840109903,-0.7004438886702896,-12.103347204752014,-0.7004438886702896,-11.96516200404363
